날짜,배추반입량_톤
2021-01-04,296.787
2021-01-05,368.058
2021-01-06,413.354
2021-01-07,155.751
2021-01-08,97.44
2021-01-11,125.945
2021-01-12,281.388
2021-01-13,102.374
2021-01-14,302.871
2021-01-15,239.647
2021-01-18,355.777
2021-01-19,250.089
2021-01-20,306.549
2021-01-21,263.278
2021-01-22,332.274
2021-01-25,218.711
2021-01-26,377.813
2021-01-27,225.707
2021-01-28,439.714
2021-01-29,430.493
2021-02-01,412.364
2021-02-02,369.993
2021-02-03,360.24
2021-02-04,346.246
2021-02-05,292.787
2021-02-08,419.63
2021-02-09,255.993
2021-02-10,309.494
2021-02-11,20.313
2021-02-15,225.562
2021-02-16,218.877
2021-02-17,207.519
2021-02-18,120.758
2021-02-19,161.239
2021-02-22,446.754
2021-02-23,289.522
2021-02-24,375.152
2021-02-25,326.985
2021-02-26,267.82
2021-03-01,331.467
2021-03-02,356.014
2021-03-03,171.993
2021-03-04,229.666
2021-03-05,225.956
2021-03-08,519.033
2021-03-09,304.003
2021-03-10,258.626
2021-03-11,320.929
2021-03-12,336.233
2021-03-15,389.682
2021-03-16,299.404
2021-03-17,306.25
2021-03-18,287.206
2021-03-19,148.385
2021-03-22,435.768
2021-03-23,339.284
2021-03-24,277.198
2021-03-25,331.38
2021-03-26,244.856
2021-03-29,424.321
2021-03-30,320.989
2021-03-31,246.939
2021-04-01,292.424
2021-04-02,279.836
2021-04-05,449.939
2021-04-06,332.51
2021-04-07,334.125
2021-04-08,231.369
2021-04-09,271.385
2021-04-12,514.697
2021-04-13,231.293
2021-04-14,441.272
2021-04-15,373.977
2021-04-16,302.762
2021-04-19,399.297
2021-04-20,374.43
2021-04-21,289.976
2021-04-22,214.566
2021-04-23,283.62
2021-04-26,376.847
2021-04-27,330.149
2021-04-28,343.844
2021-04-29,420.286
2021-04-30,331.473
2021-05-03,400.141
2021-05-04,414.104
2021-05-05,382.297
2021-05-06,329.25
2021-05-07,291.736
2021-05-10,528.35
2021-05-11,501.362
2021-05-12,439.055
2021-05-13,352.641
2021-05-14,418.409
2021-05-17,312.247
2021-05-18,424.731
2021-05-19,283.466
2021-05-20,298.478
2021-05-21,255.676
2021-05-24,472.15
2021-05-25,396.12
2021-05-26,338.738
2021-05-27,293.475
2021-05-28,306.145
2021-05-31,370.271
2021-06-01,467.685
2021-06-02,339.249
2021-06-03,333.016
2021-06-04,237.888
2021-06-07,359.213
2021-06-08,340.405
2021-06-09,401.411
2021-06-10,229.542
2021-06-11,372.427
2021-06-14,606.002
2021-06-15,406.128
2021-06-16,554.314
2021-06-17,386.78
2021-06-18,346.144
2021-06-21,454.226
2021-06-22,426.318
2021-06-23,441.394
2021-06-24,479.223
2021-06-25,424.39
2021-06-28,495.056
2021-06-29,511.758
2021-06-30,505.053
2021-07-01,517.648
2021-07-02,621.247
2021-07-05,353.061
2021-07-06,733.682
2021-07-07,581.252
2021-07-08,489.673
2021-07-09,478.389
2021-07-12,426.747
2021-07-13,497.228
2021-07-14,599.436
2021-07-15,348.528
2021-07-16,335.254
2021-07-19,460.159
2021-07-20,348.524
2021-07-21,438.66
2021-07-22,360.738
2021-07-23,403.346
2021-07-26,338.891
2021-07-27,316.689
2021-07-28,298.787
2021-07-29,274.215
2021-07-30,283.721
2021-08-02,401.12
2021-08-03,265.133
2021-08-04,407.314
2021-08-05,314.308
2021-08-06,397.621
2021-08-09,474.561
2021-08-10,381.167
2021-08-11,503.077
2021-08-12,460.725
2021-08-13,347.947
2021-08-16,463.87
2021-08-17,540.623
2021-08-18,320.826
2021-08-19,408.39
2021-08-20,565.345
2021-08-23,552.394
2021-08-24,532.74
2021-08-25,195.112
2021-08-26,522.172
2021-08-27,550.942
2021-08-30,638.353
2021-08-31,699.929
2021-09-01,411.981
2021-09-02,287.513
2021-09-03,656.599
2021-09-06,674.299
2021-09-07,713.812
2021-09-08,450.526
2021-09-09,663.438
2021-09-10,723.246
2021-09-13,899.225
2021-09-14,843.323
2021-09-15,756.4
2021-09-16,760.399
2021-09-17,747.867
2021-09-24,835.758
2021-09-27,674.687
2021-09-28,663.817
2021-09-29,481.354
2021-09-30,254.008
2021-10-01,489.293
2021-10-04,822.52
2021-10-05,555.06
2021-10-06,645.591
2021-10-07,627.751
2021-10-08,716.558
2021-10-11,640.866
2021-10-12,619.148
2021-10-13,498.481
2021-10-14,704.746
2021-10-15,507.485
2021-10-18,455.294
2021-10-19,570.007
2021-10-20,663.659
2021-10-21,660.895
2021-10-22,525.851
2021-10-25,708.386
2021-10-26,750.49
2021-10-27,602.582
2021-10-28,683.209
2021-10-29,660.822
2021-11-01,725.894
2021-11-02,752.479
2021-11-03,613.84
2021-11-04,788.772
2021-11-05,678.541
2021-11-08,1253.609
2021-11-09,821.62
2021-11-10,857.956
2021-11-11,926.667
2021-11-12,1391.348
2021-11-15,1579.309
2021-11-16,1166.816
2021-11-17,1268.533
2021-11-18,1163.235
2021-11-19,1476.896
2021-11-22,1171.806
2021-11-23,874.767
2021-11-24,578.595
2021-11-25,1120.368
2021-11-26,1135.688
2021-11-29,827.667
2021-11-30,774.957
2021-12-01,537.221
2021-12-02,394.079
2021-12-03,682.122
2021-12-06,564.102
2021-12-07,421.637
2021-12-08,352.704
2021-12-09,509.674
2021-12-10,513.715
2021-12-13,261.074
2021-12-14,337.648
2021-12-15,338.708
2021-12-16,330.361
2021-12-17,257.269
2021-12-20,324.483
2021-12-21,361.629
2021-12-22,362.969
2021-12-23,244.643
2021-12-24,211.615
2021-12-27,65.913
2021-12-28,324.761
2021-12-29,273.603
2021-12-30,322.978
2021-12-31,256.824
2022-01-03,176.522
2022-01-04,281.922
2022-01-05,412.338
2022-01-06,372.39
2022-01-07,246.791
2022-01-10,331.723
2022-01-11,242.491
2022-01-12,221.921
2022-01-13,250.568
2022-01-14,290.341
2022-01-17,580.88
2022-01-18,298.976
2022-01-19,304.281
2022-01-20,325.163
2022-01-21,247.495
2022-01-24,563.744
2022-01-25,394.686
2022-01-26,515.562
2022-01-27,345.86
2022-01-28,347.404
2022-02-04,393.483
2022-02-07,366.672
2022-02-08,214.713
2022-02-09,207.506
2022-02-10,363.302
2022-02-11,298.442
2022-02-14,316.835
2022-02-15,298.506
2022-02-16,266.866
2022-02-17,269.143
2022-02-18,242.034
2022-02-21,463.715
2022-02-22,193.906
2022-02-23,374.288
2022-02-24,272.275
2022-02-25,234.243
2022-02-28,389.178
2022-03-01,232.4
2022-03-02,184.675
2022-03-03,422.579
2022-03-04,318.442
2022-03-07,403.333
2022-03-08,324.286
2022-03-09,360.749
2022-03-10,200.552
2022-03-11,243.149
2022-03-14,318.512
2022-03-15,321.519
