날짜,부류,품목코드,품목명,단위,가격
2021-01-01,축산,4301,소,1kg,98810
2021-01-01,축산,4304,돼지,1kg,20950
2021-01-01,축산,9901,닭,1kg,5455
2021-01-01,축산,9903,계란,30구,5862
2021-01-04,식량,111,쌀,20kg,2976
2021-01-04,식량,112,찹쌀,1kg,4797
2021-01-04,식량,141,콩,500g,11817
2021-01-04,식량,142,팥,500g,19429
2021-01-04,식량,143,녹두,500g,23800
2021-01-04,식량,151,고구마,1kg,6097
2021-01-04,식량,152,감자,100g,2950
2021-01-04,채소,211,배추,1포기,2763
2021-01-04,채소,212,양배추,1포기,4000
2021-01-04,채소,213,시금치,100g,5608
2021-01-04,채소,214,상추,100g,11400
2021-01-04,채소,215,얼갈이배추,1kg,2058
2021-01-04,채소,216,갓,1kg,5937
2021-01-04,채소,221,수박,1개,15967
2021-01-04,채소,223,오이,10개,13500
2021-01-04,채소,224,호박,1개,1811
2021-01-04,채소,225,토마토,1kg,4827
2021-01-04,채소,226,딸기,100g,17086
2021-01-04,채소,231,무,1개,1580
2021-01-04,채소,232,당근,1kg,3448
2021-01-04,채소,233,열무,1kg,2028
2021-01-04,채소,241,건고추,600g,38575
2021-01-04,채소,242,풋고추,100g,9350
2021-01-04,채소,243,붉은고추,100g,15786
2021-01-04,채소,245,양파,1kg,2331
2021-01-04,채소,246,파,1kg,3621
2021-01-04,채소,247,생강,1kg,10658
2021-01-04,채소,248,고춧가루,1kg,41836
2021-01-04,채소,252,미나리,100g,7633
2021-01-04,채소,253,깻잎,100g,29871
2021-01-04,채소,255,피망,100g,14800
2021-01-04,채소,256,파프리카,200g,8471
2021-01-04,채소,257,멜론,1개,11116
2021-01-04,채소,258,깐마늘(국산),1kg,10290
2021-01-04,채소,422,방울토마토,1kg,9080
2021-01-04,과일,411,사과,10개,25667
2021-01-04,과일,412,배,10개,45435
2021-01-04,과일,414,포도,2kg,15800
2021-01-04,과일,415,감귤,10개,2763
2021-01-04,과일,416,단감,10개,11362
2021-01-04,과일,418,바나나,100g,2900
2021-01-04,과일,419,참다래,10개,7905
2021-01-04,과일,420,파인애플,1개,6000
2021-01-04,과일,421,오렌지,10개,13960
2021-01-04,과일,424,레몬,10개,8650
2021-01-04,과일,426,건포도,100g,9371
2021-01-04,과일,427,건블루베리,100g,34450
2021-01-04,과일,428,망고,1개,5548
2021-01-04,수산,611,고등어,1손,5495
2021-01-04,수산,612,꽁치,5마리,5975
2021-01-04,수산,613,갈치,1마리,7980
2021-01-04,수산,615,명태,1마리,2383
2021-01-04,수산,619,물오징어,1마리,6030
2021-01-04,수산,638,마른멸치,100g,27800
2021-01-04,수산,640,마른오징어,10마리,63806
2021-01-04,수산,641,김,10장,947
2021-01-04,수산,642,마른미역,100g,30629
2021-01-04,수산,644,굴,1kg,24237
2021-01-04,수산,649,수입조기,1마리,3886
2021-01-04,수산,650,새우젓,1kg,23683
2021-01-04,수산,651,멸치액젓,1kg,4687
2021-01-04,수산,652,천일염,5kg,1777
2021-01-04,수산,653,전복,5마리,13283
2021-01-04,수산,654,새우,10마리,4220
2021-01-05,식량,111,쌀,20kg,2976
2021-01-05,식량,112,찹쌀,1kg,4661
2021-01-05,식량,141,콩,500g,11817
2021-01-05,식량,142,팥,500g,19426
2021-01-05,식량,143,녹두,500g,23800
2021-01-05,식량,151,고구마,1kg,6097
2021-01-05,식량,152,감자,100g,2950
2021-01-05,채소,211,배추,1포기,2763
2021-01-05,채소,212,양배추,1포기,4000
2021-01-05,채소,213,시금치,100g,5608
2021-01-05,채소,214,상추,100g,11400
2021-01-05,채소,215,얼갈이배추,1kg,2058
2021-01-05,채소,216,갓,1kg,5273
2021-01-05,채소,221,수박,1개,15967
2021-01-05,채소,223,오이,10개,13500
2021-01-05,채소,224,호박,1개,1850
2021-01-05,채소,225,토마토,1kg,4756
2021-01-05,채소,226,딸기,100g,16529
2021-01-05,채소,231,무,1개,2068
2021-01-05,채소,232,당근,1kg,3448
2021-01-05,채소,233,열무,1kg,2022
2021-01-05,채소,241,건고추,600g,38575
2021-01-05,채소,242,풋고추,100g,9450
2021-01-05,채소,243,붉은고추,100g,15543
2021-01-05,채소,245,양파,1kg,2300
2021-01-05,채소,246,파,1kg,3593
2021-01-05,채소,247,생강,1kg,10658
2021-01-05,채소,248,고춧가루,1kg,41836
2021-01-05,채소,252,미나리,100g,8167
2021-01-05,채소,253,깻잎,100g,30114
2021-01-05,채소,255,피망,100g,15817
2021-01-05,채소,256,파프리카,200g,8721
2021-01-05,채소,257,멜론,1개,11397
2021-01-05,채소,258,깐마늘(국산),1kg,10290
2021-01-05,채소,422,방울토마토,1kg,9080
2021-01-05,과일,411,사과,10개,25667
2021-01-05,과일,412,배,10개,43988
2021-01-05,과일,414,포도,2kg,15800
2021-01-05,과일,415,감귤,10개,2652
2021-01-05,과일,416,단감,10개,11836
2021-01-05,과일,418,바나나,100g,2900
2021-01-05,과일,419,참다래,10개,7647
2021-01-05,과일,420,파인애플,1개,6000
2021-01-05,과일,421,오렌지,10개,13960
2021-01-05,과일,424,레몬,10개,8650
2021-01-05,과일,426,건포도,100g,9371
2021-01-05,과일,427,건블루베리,100g,34450
2021-01-05,과일,428,망고,1개,5548
2021-01-05,축산,4301,소,1kg,101850
2021-01-05,축산,4304,돼지,1kg,21490
2021-01-05,축산,9901,닭,1kg,5411
2021-01-05,축산,9903,계란,30구,5923
2021-01-05,수산,611,고등어,1마리,2490
2021-01-05,수산,612,꽁치,5마리,7500
2021-01-05,수산,613,갈치,1마리,7980
2021-01-05,수산,615,명태,1마리,2080
2021-01-05,수산,619,물오징어,1마리,6197
2021-01-05,수산,638,마른멸치,100g,27800
2021-01-05,수산,640,마른오징어,10마리,63806
2021-01-05,수산,641,김,10장,947
2021-01-05,수산,642,마른미역,100g,30629
2021-01-05,수산,644,굴,1kg,23380
2021-01-05,수산,649,수입조기,1마리,3886
2021-01-05,수산,650,새우젓,1kg,23683
2021-01-05,수산,651,멸치액젓,1kg,4687
2021-01-05,수산,652,천일염,5kg,1777
2021-01-05,수산,653,전복,5마리,13257
2021-01-05,수산,654,새우,10마리,4220
2021-01-06,식량,111,쌀,20kg,2976
2021-01-06,식량,112,찹쌀,1kg,4661
2021-01-06,식량,141,콩,500g,11817
2021-01-06,식량,142,팥,500g,19426
2021-01-06,식량,143,녹두,500g,23800
2021-01-06,식량,151,고구마,1kg,5928
2021-01-06,식량,152,감자,100g,2950
2021-01-06,채소,211,배추,1포기,2763
2021-01-06,채소,212,양배추,1포기,4000
2021-01-06,채소,213,시금치,100g,5608
2021-01-06,채소,214,상추,100g,11400
2021-01-06,채소,215,얼갈이배추,1kg,2068
2021-01-06,채소,216,갓,1kg,5273
2021-01-06,채소,221,수박,1개,15967
2021-01-06,채소,223,오이,10개,13500
2021-01-06,채소,224,호박,1개,1893
2021-01-06,채소,225,토마토,1kg,4756
2021-01-06,채소,226,딸기,100g,16700
2021-01-06,채소,231,무,1개,2068
2021-01-06,채소,232,당근,1kg,3448
2021-01-06,채소,233,열무,1kg,2186
2021-01-06,채소,241,건고추,600g,38575
2021-01-06,채소,242,풋고추,100g,9450
2021-01-06,채소,243,붉은고추,100g,15543
2021-01-06,채소,245,양파,1kg,2300
2021-01-06,채소,246,파,1kg,3640
2021-01-06,채소,247,생강,1kg,10738
2021-01-06,채소,248,고춧가루,1kg,41836
2021-01-06,채소,252,미나리,100g,8800
2021-01-06,채소,253,깻잎,100g,30586
2021-01-06,채소,255,피망,100g,15817
2021-01-06,채소,256,파프리카,200g,8671
2021-01-06,채소,257,멜론,1개,11397
2021-01-06,채소,258,깐마늘(국산),1kg,10290
2021-01-06,채소,422,방울토마토,1kg,9080
2021-01-06,과일,411,사과,10개,25667
2021-01-06,과일,412,배,10개,45435
