날짜,품목명,지역,가격
2021-01-01,배추,서울,400
2021-01-01,배추,서울,460
2021-01-01,배추,부산,400
2021-01-01,배추,부산,500
2021-01-01,배추,대구,400
2021-01-01,배추,대구,500
2021-01-01,배추,광주,525
2021-01-01,배추,대전,500
2021-01-04,배추,서울,440
2021-01-04,배추,부산,500
2021-01-04,배추,대구,450
2021-01-04,배추,광주,475
2021-01-04,배추,대전,500
2021-01-05,배추,서울,440
2021-01-05,배추,부산,500
2021-01-05,배추,대구,500
2021-01-05,배추,광주,512
2021-01-05,배추,대전,600
2021-01-06,배추,서울,440
2021-01-06,배추,부산,500
2021-01-06,배추,대구,500
2021-01-06,배추,광주,512
2021-01-06,배추,대전,650
2021-01-07,배추,서울,440
2021-01-07,배추,부산,500
2021-01-07,배추,대구,500
2021-01-07,배추,광주,512
2021-01-07,배추,대전,600
2021-01-08,배추,서울,440
2021-01-08,배추,부산,500
2021-01-08,배추,대구,500
2021-01-08,배추,광주,512
2021-01-08,배추,대전,600
2021-01-11,배추,서울,500
2021-01-11,배추,부산,500
2021-01-11,배추,대구,500
2021-01-11,배추,광주,512
2021-01-11,배추,대전,600
2021-01-12,배추,서울,500
2021-01-12,배추,부산,600
2021-01-12,배추,대구,600
2021-01-12,배추,광주,612
2021-01-12,배추,대전,650
2021-01-13,배추,서울,500
2021-01-13,배추,부산,600
2021-01-13,배추,대구,600
2021-01-13,배추,광주,612
2021-01-13,배추,대전,650
2021-01-14,배추,서울,500
2021-01-14,배추,부산,600
2021-01-14,배추,대구,600
2021-01-14,배추,광주,612
2021-01-14,배추,대전,700
2021-01-15,배추,서울,500
2021-01-15,배추,부산,600
2021-01-15,배추,대구,600
2021-01-15,배추,광주,612
2021-01-15,배추,대전,700
2021-01-18,배추,서울,550
2021-01-18,배추,부산,600
2021-01-18,배추,대구,600
2021-01-18,배추,광주,612
2021-01-18,배추,대전,750
2021-01-19,배추,서울,600
2021-01-19,배추,부산,600
2021-01-19,배추,대구,700
2021-01-19,배추,광주,712
2021-01-19,배추,대전,700
2021-01-20,배추,서울,540
2021-01-20,배추,부산,600
2021-01-20,배추,대구,600
2021-01-20,배추,광주,612
2021-01-20,배추,대전,700
2021-01-21,배추,서울,540
2021-01-21,배추,부산,600
2021-01-21,배추,대구,600
2021-01-21,배추,광주,612
2021-01-21,배추,대전,700
2021-01-22,배추,서울,540
2021-01-22,배추,부산,600
2021-01-22,배추,대구,600
2021-01-22,배추,광주,612
2021-01-22,배추,대전,700
2021-01-25,배추,서울,600
2021-01-25,배추,부산,600
2021-01-25,배추,대구,600
2021-01-25,배추,광주,612
2021-01-25,배추,대전,700
2021-01-26,배추,서울,600
2021-01-26,배추,부산,600
2021-01-26,배추,대구,600
2021-01-26,배추,광주,612
2021-01-26,배추,대전,650
2021-01-27,배추,서울,700
2021-01-27,배추,부산,700
2021-01-27,배추,대구,700
2021-01-27,배추,광주,712
2021-01-27,배추,대전,700
2021-01-28,배추,서울,700
2021-01-28,배추,부산,700
2021-01-28,배추,대구,700
2021-01-28,배추,광주,812
2021-01-28,배추,대전,700
2021-01-29,배추,서울,700
2021-01-29,배추,부산,700
2021-01-29,배추,대구,700
2021-01-29,배추,광주,812
2021-01-29,배추,대전,750
2021-02-01,배추,서울,700
2021-02-01,배추,부산,700
2021-02-01,배추,대구,700
2021-02-01,배추,광주,712
2021-02-01,배추,대전,700
2021-02-02,배추,서울,700
2021-02-02,배추,부산,700
2021-02-02,배추,대구,700
2021-02-02,배추,광주,712
2021-02-02,배추,대전,750
2021-02-03,배추,서울,700
2021-02-03,배추,부산,700
2021-02-03,배추,대구,700
2021-02-03,배추,광주,712
2021-02-03,배추,대전,800
2021-02-04,배추,서울,700
2021-02-04,배추,부산,700
2021-02-04,배추,대구,730
2021-02-04,배추,광주,762
2021-02-04,배추,대전,800
2021-02-05,배추,서울,800
2021-02-05,배추,부산,800
2021-02-05,배추,대구,800
2021-02-05,배추,광주,825
2021-02-05,배추,대전,800
2021-02-08,배추,서울,700
2021-02-08,배추,부산,700
2021-02-08,배추,대구,700
2021-02-08,배추,광주,725
2021-02-08,배추,대전,750
2021-02-09,배추,서울,700
2021-02-09,배추,부산,800
2021-02-09,배추,대구,700
2021-02-09,배추,광주,725
2021-02-09,배추,대전,850
2021-02-10,배추,서울,800
2021-02-10,배추,부산,800
2021-02-10,배추,대구,800
2021-02-10,배추,광주,825
2021-02-10,배추,대전,850
2021-02-11,배추,서울,800
2021-02-11,배추,부산,800
2021-02-11,배추,대구,800
2021-02-11,배추,광주,825
2021-02-11,배추,대전,850
2021-02-12,배추,서울,800
2021-02-12,배추,부산,800
2021-02-12,배추,대구,800
2021-02-12,배추,광주,825
2021-02-12,배추,대전,850
2021-02-15,배추,서울,800
2021-02-15,배추,부산,800
2021-02-15,배추,대구,800
2021-02-15,배추,광주,725
2021-02-15,배추,대전,850
2021-02-16,배추,서울,800
2021-02-16,배추,부산,800
2021-02-16,배추,대구,800
2021-02-16,배추,광주,825
2021-02-16,배추,대전,900
2021-02-17,배추,서울,800
2021-02-17,배추,부산,800
2021-02-17,배추,대구,800
2021-02-17,배추,광주,825
2021-02-17,배추,대전,1000
2021-02-18,배추,서울,850
2021-02-18,배추,부산,900
2021-02-18,배추,대구,900
2021-02-18,배추,광주,925
2021-02-18,배추,대전,1150
2021-02-19,배추,서울,900
2021-02-19,배추,부산,900
2021-02-19,배추,대구,950
2021-02-19,배추,광주,962
2021-02-19,배추,대전,1200
2021-02-22,배추,서울,900
2021-02-22,배추,부산,900
2021-02-22,배추,대구,950
2021-02-22,배추,광주,912
2021-02-22,배추,대전,1200
2021-02-23,배추,서울,960
2021-02-23,배추,부산,900
2021-02-23,배추,대구,950
2021-02-23,배추,광주,912
2021-02-23,배추,대전,1200
2021-02-24,배추,서울,900
2021-02-24,배추,부산,900
2021-02-24,배추,대구,900
2021-02-24,배추,광주,912
2021-02-24,배추,대전,1000
2021-02-25,배추,서울,900
2021-02-25,배추,부산,900
2021-02-25,배추,대구,900
2021-02-25,배추,광주,912
2021-02-25,배추,대전,900
2021-02-26,배추,서울,1040
2021-02-26,배추,부산,1000
2021-02-26,배추,대구,1000
2021-02-26,배추,광주,1020
2021-02-26,배추,대전,1000
2021-03-01,배추,서울,1040
2021-03-01,배추,부산,1000
2021-03-01,배추,대구,1000
2021-03-01,배추,광주,1020
2021-03-01,배추,대전,1000
2021-03-02,배추,서울,1000
2021-03-02,배추,부산,1060
2021-03-02,배추,대구,1050
2021-03-02,배추,광주,1020
2021-03-02,배추,대전,1100
2021-03-03,배추,서울,1000
2021-03-03,배추,부산,1060
2021-03-03,배추,대구,1050
2021-03-03,배추,광주,1020
2021-03-03,배추,대전,1100
2021-03-04,배추,서울,940
2021-03-04,배추,부산,1060
2021-03-04,배추,대구,950
2021-03-04,배추,광주,962
2021-03-04,배추,대전,1100
2021-03-05,배추,서울,900
2021-03-05,배추,부산,1000
2021-03-05,배추,대구,900
2021-03-05,배추,광주,912
2021-03-05,배추,대전,1100
2021-03-08,배추,서울,1000
2021-03-08,배추,부산,1000
2021-03-08,배추,대구,1000
2021-03-08,배추,광주,1010
2021-03-08,배추,대전,1100
2021-03-09,배추,서울,1000
2021-03-09,배추,부산,1000
2021-03-09,배추,대구,1000
2021-03-09,배추,광주,1010
2021-03-09,배추,대전,1100
2021-03-10,배추,서울,1000
2021-03-10,배추,부산,1000
2021-03-10,배추,대구,1000
2021-03-10,배추,광주,1010
2021-03-10,배추,대전,1100
2021-03-11,배추,서울,900
2021-03-11,배추,부산,1050
2021-03-11,배추,대구,1100
2021-03-11,배추,광주,1120
2021-03-11,배추,대전,1200
2021-03-12,배추,서울,900
2021-03-12,배추,부산,1050
2021-03-12,배추,대구,1000
2021-03-12,배추,광주,1020
2021-03-12,배추,대전,1100
2021-03-15,배추,서울,940
2021-03-15,배추,부산,1050
2021-03-15,배추,대구,1000
2021-03-15,배추,광주,1120
2021-03-15,배추,대전,1200
2021-03-16,배추,서울,1000
2021-03-16,배추,부산,1050
2021-03-16,배추,대구,1000
2021-03-16,배추,광주,1020
2021-03-16,배추,대전,1100
2021-03-17,배추,서울,1000
2021-03-17,배추,부산,1050
2021-03-17,배추,대구,1000
2021-03-17,배추,광주,1020
2021-03-17,배추,대전,1100
2021-03-18,배추,서울,900
2021-03-18,배추,부산,1000
2021-03-18,배추,대구,1000
2021-03-18,배추,광주,1020
2021-03-18,배추,대전,1100
2021-03-19,배추,서울,900
2021-03-19,배추,부산,1000
2021-03-19,배추,대구,1000
2021-03-19,배추,광주,1020
2021-03-19,배추,대전,1100
2021-03-22,배추,서울,1000
2021-03-22,배추,부산,1000
2021-03-22,배추,대구,1100
2021-03-22,배추,광주,1120
2021-03-22,배추,대전,1300
2021-03-23,배추,서울,1000
2021-03-23,배추,부산,1000
2021-03-23,배추,대구,1000
2021-03-23,배추,광주,1020
2021-03-23,배추,대전,1300
2021-03-24,배추,서울,1000
2021-03-24,배추,부산,1000
2021-03-24,배추,대구,1000
2021-03-24,배추,광주,1020
2021-03-24,배추,대전,1300
2021-03-25,배추,서울,1000
2021-03-25,배추,부산,1000
2021-03-25,배추,대구,1000
2021-03-25,배추,광주,1020
2021-03-25,배추,대전,1200
2021-03-26,배추,서울,1000
2021-03-26,배추,부산,1000
2021-03-26,배추,대구,1000
2021-03-26,배추,광주,1120
2021-03-26,배추,대전,1200
2021-03-29,배추,서울,1000
2021-03-29,배추,부산,1000
2021-03-29,배추,대구,1000
2021-03-29,배추,광주,1120
2021-03-29,배추,대전,1300
2021-03-30,배추,서울,1000
2021-03-30,배추,부산,1000
2021-03-30,배추,대구,1000
2021-03-30,배추,광주,1120
2021-03-30,배추,대전,1300
2021-03-31,배추,서울,900
2021-03-31,배추,부산,950
2021-03-31,배추,대구,950
2021-03-31,배추,광주,1020
2021-03-31,배추,대전,1300
2021-04-01,배추,서울,1000
2021-04-01,배추,부산,1000
2021-04-01,배추,대구,1000
2021-04-01,배추,광주,1120
2021-04-01,배추,대전,1400
2021-04-02,배추,서울,1000
2021-04-02,배추,부산,1000
2021-04-02,배추,대구,1000
2021-04-02,배추,광주,1120
2021-04-02,배추,대전,1400
2021-04-05,배추,서울,1000
2021-04-05,배추,부산,1000
2021-04-05,배추,대구,1000
2021-04-05,배추,광주,1020
2021-04-05,배추,대전,1400
2021-04-06,배추,서울,1000
2021-04-06,배추,부산,1000
2021-04-06,배추,대구,1000
2021-04-06,배추,광주,1020
2021-04-06,배추,대전,1500
2021-04-07,배추,서울,1000
2021-04-07,배추,부산,1000
2021-04-07,배추,대구,1000
2021-04-07,배추,광주,1020
2021-04-07,배추,대전,1400
2021-04-08,배추,서울,1000
2021-04-08,배추,부산,1000
2021-04-08,배추,대구,1000
2021-04-08,배추,광주,1020
2021-04-08,배추,대전,1400
2021-04-09,배추,서울,1000
2021-04-09,배추,부산,1000
2021-04-09,배추,대구,1000
2021-04-09,배추,광주,1020
2021-04-09,배추,대전,1400
2021-04-12,배추,서울,1000
2021-04-12,배추,부산,1000
2021-04-12,배추,대구,1000
2021-04-12,배추,광주,1020
2021-04-12,배추,대전,1300
2021-04-13,배추,서울,1000
2021-04-13,배추,부산,1000
2021-04-13,배추,대구,1000
2021-04-13,배추,광주,1220
2021-04-13,배추,대전,1300
2021-04-14,배추,서울,1000
2021-04-14,배추,부산,1000
2021-04-14,배추,대구,1000
2021-04-14,배추,광주,1220
2021-04-14,배추,대전,1300
2021-04-15,배추,서울,1000
2021-04-15,배추,부산,1000
2021-04-15,배추,대구,1000
2021-04-15,배추,광주,1120
2021-04-15,배추,대전,1300
2021-04-16,배추,서울,1000
2021-04-16,배추,부산,1000
2021-04-16,배추,대구,1000
2021-04-16,배추,광주,1110
2021-04-16,배추,대전,1300
2021-04-19,배추,서울,1100
2021-04-19,배추,부산,1000
2021-04-19,배추,대구,1000
2021-04-19,배추,광주,1110
2021-04-19,배추,대전,1300
2021-04-20,배추,서울,1000
2021-04-20,배추,부산,1000
2021-04-20,배추,대구,1000
2021-04-20,배추,광주,1020
2021-04-20,배추,대전,1300
2021-04-21,배추,서울,1000
2021-04-21,배추,부산,1000
2021-04-21,배추,대구,1000
2021-04-21,배추,광주,1020
2021-04-21,배추,대전,1300
2021-04-22,배추,서울,900
2021-04-22,배추,부산,1000
2021-04-22,배추,대구,1000
2021-04-22,배추,광주,1020
2021-04-22,배추,대전,1300
2021-04-23,배추,서울,1000
2021-04-23,배추,부산,1000
2021-04-23,배추,대구,1000
2021-04-23,배추,광주,1020
2021-04-23,배추,대전,1300
2021-04-26,배추,서울,1000
2021-04-26,배추,부산,1000
2021-04-26,배추,대구,1000
2021-04-26,배추,광주,1020
2021-04-26,배추,대전,1300
2021-04-27,배추,서울,1000
2021-04-27,배추,부산,1000
2021-04-27,배추,대구,1000
2021-04-27,배추,광주,1020
2021-04-27,배추,대전,1300
2021-04-28,배추,서울,1000
2021-04-28,배추,부산,1000
2021-04-28,배추,대구,1000
2021-04-28,배추,광주,1020
2021-04-28,배추,대전,1300
2021-04-29,배추,서울,900
2021-04-29,배추,부산,900
2021-04-29,배추,대구,950
2021-04-29,배추,광주,925
2021-04-29,배추,대전,1100
2021-04-30,배추,서울,1000
2021-04-30,배추,부산,900
2021-04-30,배추,대구,950
2021-04-30,배추,광주,925
2021-04-30,배추,대전,1100
2021-05-03,배추,서울,800
2021-05-03,배추,서울,1000
2021-05-03,배추,부산,800
2021-05-03,배추,부산,900
2021-05-03,배추,대구,800
2021-05-03,배추,대구,950
2021-05-03,배추,광주,825
2021-05-03,배추,광주,925
2021-05-03,배추,대전,800
2021-05-03,배추,대전,1100
2021-05-04,배추,서울,700
2021-05-04,배추,서울,1000
2021-05-04,배추,부산,750
2021-05-04,배추,부산,900
2021-05-04,배추,대구,750
2021-05-04,배추,대구,950
2021-05-04,배추,광주,762
2021-05-04,배추,광주,1020
2021-05-04,배추,대전,790
2021-05-04,배추,대전,1100
2021-05-05,배추,서울,700
2021-05-05,배추,서울,1000
2021-05-05,배추,부산,750
2021-05-05,배추,부산,900
2021-05-05,배추,대구,750
2021-05-05,배추,대구,950
2021-05-05,배추,광주,762
2021-05-05,배추,광주,1020
2021-05-05,배추,대전,790
2021-05-05,배추,대전,1100
2021-05-06,배추,서울,700
2021-05-06,배추,서울,1000
2021-05-06,배추,부산,700
2021-05-06,배추,부산,900
2021-05-06,배추,대구,750
2021-05-06,배추,대구,950
2021-05-06,배추,광주,762
2021-05-06,배추,광주,1020
2021-05-06,배추,대전,900
2021-05-06,배추,대전,1100
2021-05-07,배추,서울,600
2021-05-07,배추,서울,900
2021-05-07,배추,부산,700
2021-05-07,배추,부산,900
2021-05-07,배추,대구,700
2021-05-07,배추,대구,950
2021-05-07,배추,광주,712
2021-05-07,배추,광주,1020
2021-05-07,배추,대전,800
2021-05-07,배추,대전,1000
2021-05-10,배추,서울,700
2021-05-10,배추,서울,1000
2021-05-10,배추,부산,700
2021-05-10,배추,부산,1000
2021-05-10,배추,대구,700
2021-05-10,배추,대구,1000
2021-05-10,배추,광주,712
2021-05-10,배추,광주,1020
2021-05-10,배추,대전,800
2021-05-10,배추,대전,1000
2021-05-11,배추,서울,700
2021-05-11,배추,서울,1000
2021-05-11,배추,부산,700
2021-05-11,배추,부산,800
2021-05-11,배추,대구,700
2021-05-11,배추,대구,900
2021-05-11,배추,광주,712
2021-05-11,배추,광주,1120
2021-05-11,배추,대전,800
2021-05-11,배추,대전,1000
2021-05-12,배추,서울,500
2021-05-12,배추,서울,800
2021-05-12,배추,부산,600
2021-05-12,배추,부산,800
2021-05-12,배추,대구,600
2021-05-12,배추,대구,800
2021-05-12,배추,광주,612
2021-05-12,배추,광주,925
2021-05-12,배추,대전,700
2021-05-12,배추,대전,1000
2021-05-13,배추,서울,500
2021-05-13,배추,서울,800
2021-05-13,배추,부산,600
2021-05-13,배추,부산,800
2021-05-13,배추,대구,600
2021-05-13,배추,대구,800
2021-05-13,배추,광주,612
2021-05-13,배추,광주,925
2021-05-13,배추,대전,700
2021-05-13,배추,대전,1000
2021-05-14,배추,서울,400
2021-05-14,배추,부산,550
2021-05-14,배추,대구,500
2021-05-14,배추,광주,612
2021-05-14,배추,대전,700
2021-05-17,배추,서울,540
2021-05-17,배추,부산,550
2021-05-17,배추,대구,550
2021-05-17,배추,광주,612
2021-05-17,배추,대전,700
2021-05-18,배추,서울,500
2021-05-18,배추,부산,500
2021-05-18,배추,대구,500
2021-05-18,배추,광주,512
2021-05-18,배추,대전,700
2021-05-19,배추,서울,500
2021-05-19,배추,부산,500
2021-05-19,배추,대구,500
2021-05-19,배추,광주,512
2021-05-19,배추,대전,700
2021-05-20,배추,서울,600
2021-05-20,배추,부산,500
2021-05-20,배추,대구,600
2021-05-20,배추,광주,612
2021-05-20,배추,대전,600
2021-05-21,배추,서울,700
2021-05-21,배추,부산,600
2021-05-21,배추,대구,700
2021-05-21,배추,광주,725
2021-05-21,배추,대전,700
2021-05-24,배추,서울,600
2021-05-24,배추,부산,600
2021-05-24,배추,대구,600
2021-05-24,배추,광주,625
2021-05-24,배추,대전,700
2021-05-25,배추,서울,600
2021-05-25,배추,부산,600
2021-05-25,배추,대구,600
2021-05-25,배추,광주,625
2021-05-25,배추,대전,700
2021-05-26,배추,서울,600
2021-05-26,배추,부산,600
2021-05-26,배추,대구,600
2021-05-26,배추,광주,625
2021-05-26,배추,대전,700
2021-05-27,배추,서울,700
2021-05-27,배추,부산,700
2021-05-27,배추,대구,700
2021-05-27,배추,광주,725
2021-05-27,배추,대전,700
2021-05-28,배추,서울,800
2021-05-28,배추,부산,700
2021-05-28,배추,대구,700
2021-05-28,배추,광주,625
2021-05-28,배추,대전,700
2021-05-31,배추,서울,700
2021-05-31,배추,부산,700
2021-05-31,배추,대구,700
2021-05-31,배추,광주,725
2021-05-31,배추,대전,800
2021-06-01,배추,서울,700
2021-06-01,배추,부산,700
2021-06-01,배추,대구,700
2021-06-01,배추,광주,725
2021-06-01,배추,대전,700
2021-06-02,배추,서울,600
2021-06-02,배추,부산,600
2021-06-02,배추,대구,600
2021-06-02,배추,광주,625
2021-06-02,배추,대전,700
2021-06-03,배추,서울,700
2021-06-03,배추,부산,600
2021-06-03,배추,대구,700
2021-06-03,배추,광주,725
2021-06-03,배추,대전,700
2021-06-04,배추,서울,700
2021-06-04,배추,부산,600
2021-06-04,배추,대구,600
2021-06-04,배추,광주,625
2021-06-04,배추,대전,600
2021-06-07,배추,서울,700
2021-06-07,배추,부산,650
2021-06-07,배추,대구,700
2021-06-07,배추,광주,725
2021-06-07,배추,대전,700
2021-06-08,배추,서울,600
2021-06-08,배추,부산,600
2021-06-08,배추,대구,600
2021-06-08,배추,광주,625
2021-06-08,배추,대전,600
2021-06-09,배추,서울,500
2021-06-09,배추,부산,600
2021-06-09,배추,대구,600
2021-06-09,배추,광주,625
2021-06-09,배추,대전,600
2021-06-10,배추,서울,640
2021-06-10,배추,부산,600
2021-06-10,배추,대구,600
2021-06-10,배추,광주,625
2021-06-10,배추,대전,700
2021-06-11,배추,서울,600
2021-06-11,배추,부산,600
2021-06-11,배추,대구,600
2021-06-11,배추,광주,612
2021-06-11,배추,대전,600
2021-06-14,배추,서울,500
2021-06-14,배추,부산,550
2021-06-14,배추,대구,500
2021-06-14,배추,광주,600
2021-06-14,배추,대전,600
2021-06-15,배추,서울,600
2021-06-15,배추,부산,600
2021-06-15,배추,대구,600
2021-06-15,배추,광주,600
2021-06-15,배추,대전,700
2021-06-16,배추,서울,500
2021-06-16,배추,부산,600
2021-06-16,배추,대구,600
2021-06-16,배추,광주,600
2021-06-16,배추,대전,600
2021-06-17,배추,서울,500
2021-06-17,배추,부산,600
2021-06-17,배추,대구,600
2021-06-17,배추,광주,600
2021-06-17,배추,대전,600
2021-06-18,배추,서울,500
2021-06-18,배추,부산,600
2021-06-18,배추,대구,600
2021-06-18,배추,광주,600
2021-06-18,배추,대전,600
2021-06-21,배추,서울,600
2021-06-21,배추,부산,600
2021-06-21,배추,대구,700
2021-06-21,배추,광주,725
2021-06-21,배추,대전,700
2021-06-22,배추,서울,600
2021-06-22,배추,부산,600
2021-06-22,배추,대구,600
2021-06-22,배추,광주,625
2021-06-22,배추,대전,600
2021-06-23,배추,서울,600
2021-06-23,배추,부산,600
2021-06-23,배추,대구,600
2021-06-23,배추,광주,625
2021-06-23,배추,대전,600
2021-06-24,배추,서울,600
2021-06-24,배추,부산,600
2021-06-24,배추,대구,600
2021-06-24,배추,광주,625
2021-06-24,배추,대전,600
2021-06-25,배추,서울,500
