날짜,품목명,가격
2021-01-04,배추,440
2021-01-04,무,650
2021-01-04,양파,1590
2021-01-04,대파,3000
2021-01-04,마늘,6750
2021-01-05,배추,440
2021-01-05,무,750
2021-01-05,양파,1650
2021-01-05,대파,3000
2021-01-05,마늘,6750
2021-01-06,배추,440
2021-01-06,무,770
2021-01-06,양파,1680
2021-01-06,대파,3000
2021-01-06,마늘,6750
2021-01-07,배추,440
2021-01-07,무,780
2021-01-07,양파,1730
2021-01-07,대파,3500
2021-01-07,마늘,6750
2021-01-08,배추,440
2021-01-08,무,730
2021-01-08,양파,1730
2021-01-08,대파,3000
2021-01-08,마늘,6750
2021-01-11,배추,500
2021-01-11,무,720
2021-01-11,양파,1765
2021-01-11,대파,3000
2021-01-11,마늘,6750
2021-01-12,배추,500
2021-01-12,무,780
2021-01-12,양파,1800
2021-01-12,대파,3400
2021-01-12,마늘,6750
2021-01-13,배추,500
2021-01-13,무,770
2021-01-13,양파,1900
2021-01-13,대파,3400
2021-01-13,마늘,6750
2021-01-14,배추,500
2021-01-14,무,720
2021-01-14,양파,1900
2021-01-14,대파,3500
2021-01-14,마늘,6750
2021-01-15,배추,500
2021-01-15,무,720
2021-01-15,양파,1900
2021-01-15,대파,4000
2021-01-15,마늘,6750
2021-01-18,배추,550
2021-01-18,무,730
2021-01-18,양파,1900
2021-01-18,대파,3500
2021-01-18,마늘,6750
2021-01-19,배추,600
2021-01-19,무,730
2021-01-19,양파,1900
2021-01-19,대파,3500
2021-01-19,마늘,6750
2021-01-20,배추,540
2021-01-20,무,730
2021-01-20,양파,1900
2021-01-20,대파,3500
2021-01-20,마늘,6750
2021-01-21,배추,540
2021-01-21,무,730
2021-01-21,양파,1915
2021-01-21,대파,3500
2021-01-21,마늘,6750
2021-01-22,배추,540
2021-01-22,무,730
2021-01-22,양파,1915
2021-01-22,대파,3500
2021-01-22,마늘,6750
2021-01-25,배추,600
2021-01-25,무,700
2021-01-25,양파,1915
2021-01-25,대파,4000
2021-01-25,마늘,6750
2021-01-26,배추,600
2021-01-26,무,680
2021-01-26,양파,1915
2021-01-26,대파,4000
2021-01-26,마늘,6750
2021-01-27,배추,700
2021-01-27,무,680
2021-01-27,양파,1855
2021-01-27,대파,4000
2021-01-27,마늘,6750
