날짜,지점명,평균기온,최고기온,최저기온,일강수량,일조합
2021-01-01,서울,-4.2,1.6,-9.8,,6.5
2021-01-02,서울,-5.0,-1.4,-8.4,,9.0
2021-01-03,서울,-5.6,-2.0,-9.1,,5.5
2021-01-04,서울,-3.5,0.3,-8.4,0.0,4.6
2021-01-05,서울,-5.5,-2.1,-9.9,0.0,8.6
2021-01-06,서울,-7.4,-1.9,-12.0,2.3,9.1
2021-01-07,서울,-14.5,-8.4,-16.5,,
2021-01-08,서울,-14.9,-10.7,-18.6,,9.2
2021-01-09,서울,-12.2,-7.5,-16.6,,9.0
2021-01-10,서울,-7.7,-2.7,-12.8,,6.2
2021-01-11,서울,-6.7,-4.0,-9.6,,0.0
2021-01-12,서울,-3.9,-0.5,-9.3,2.6,3.6
2021-01-13,서울,2.0,8.3,-3.0,0.0,6.1
2021-01-14,서울,1.7,7.0,-3.6,,8.0
2021-01-15,서울,4.5,9.9,-0.7,0.2,0.0
2021-01-16,서울,-4.9,-0.7,-8.7,,8.9
2021-01-17,서울,-5.5,-1.3,-10.8,0.0,7.0
2021-01-18,서울,-3.8,0.2,-9.1,0.3,2.5
2021-01-19,서울,-6.3,-0.2,-11.6,,9.2
2021-01-20,서울,-0.1,7.1,-6.6,,8.9
2021-01-21,서울,4.5,7.0,2.5,9.2,0.0
2021-01-22,서울,5.5,6.6,4.8,0.1,0.0
2021-01-23,서울,7.6,12.2,4.8,,5.3
2021-01-24,서울,7.3,13.9,2.4,,8.2
2021-01-25,서울,7.9,13.9,3.0,,7.6
2021-01-26,서울,5.3,7.4,1.7,1.7,0.0
2021-01-27,서울,1.7,6.5,-1.8,,8.4
2021-01-28,서울,-2.6,1.4,-9.7,2.0,2.3
2021-01-29,서울,-8.8,-4.9,-11.6,,9.6
2021-01-30,서울,-1.6,5.2,-8.1,0.5,6.4
2021-01-31,서울,3.2,8.7,-3.8,,6.7
2021-02-01,서울,5.0,9.5,-2.3,0.7,1.1
2021-02-02,서울,-5.6,-2.4,-8.2,0.0,9.6
2021-02-03,서울,-3.2,1.4,-9.4,3.4,6.6
2021-02-04,서울,-3.6,0.7,-7.4,0.1,9.6
2021-02-05,서울,1.4,6.7,-4.4,,2.7
2021-02-06,서울,6.8,9.5,4.3,,0.1
2021-02-07,서울,3.6,7.7,-2.6,,6.0
2021-02-08,서울,-3.1,0.2,-5.4,,9.6
2021-02-09,서울,-0.9,4.7,-6.1,,9.7
2021-02-10,서울,3.4,7.2,-1.5,,0.7
2021-02-11,서울,5.5,10.9,1.3,,5.2
2021-02-12,서울,6.5,14.0,0.6,,9.2
2021-02-13,서울,7.6,15.9,1.0,,9.3
2021-02-14,서울,9.5,13.8,6.4,0.0,1.7
2021-02-15,서울,1.2,8.2,-5.2,1.4,4.3
2021-02-16,서울,-5.1,-1.3,-7.0,1.5,2.8
2021-02-17,서울,-8.3,-5.2,-10.4,0.0,9.8
2021-02-18,서울,-5.8,-0.4,-10.6,,9.9
2021-02-19,서울,1.6,8.9,-7.1,,8.9
2021-02-20,서울,8.8,14.9,5.5,,7.8
2021-02-21,서울,10.8,17.4,4.7,,9.7
2021-02-22,서울,7.8,12.6,0.4,,6.3
2021-02-23,서울,0.0,4.3,-3.1,,10.0
2021-02-24,서울,2.9,10.1,-3.0,,8.4
2021-02-25,서울,4.2,8.2,0.7,,0.0
2021-02-26,서울,8.2,15.8,0.5,,9.1
2021-02-27,서울,9.5,16.2,4.3,,10.3
2021-02-28,서울,7.8,10.8,3.2,,2.6
2021-03-01,서울,4.7,9.0,0.5,67.5,0.0
2021-03-02,서울,2.3,6.9,0.2,0.1,4.7
2021-03-03,서울,4.4,9.9,-1.2,,10.4
2021-03-04,서울,7.2,13.0,2.5,,1.9
2021-03-05,서울,9.0,16.2,3.0,,10.5
2021-03-06,서울,6.6,11.6,3.2,,3.6
2021-03-07,서울,6.2,12.2,2.1,,9.6
2021-03-08,서울,7.0,13.9,1.5,,10.8
2021-03-09,서울,6.6,12.2,2.1,,9.4
2021-03-10,서울,8.8,17.1,1.7,,10.2
2021-03-11,서울,10.2,17.1,4.7,,7.9
2021-03-12,서울,10.5,14.9,7.2,0.0,0.1
2021-03-13,서울,9.2,14.2,4.6,,6.0
2021-03-14,서울,9.1,14.7,4.9,,8.2
2021-03-15,서울,10.6,15.7,5.1,1.7,2.7
2021-03-16,서울,8.4,13.1,4.9,1.3,10.6
2021-03-17,서울,8.8,17.5,1.8,,10.7
2021-03-18,서울,11.7,18.4,5.0,,8.1
2021-03-19,서울,15.3,20.2,11.4,,8.8
2021-03-20,서울,9.9,14.7,7.4,5.1,0.0
2021-03-21,서울,5.8,8.6,3.1,0.3,2.9
2021-03-22,서울,6.2,11.1,1.1,,11.1
2021-03-23,서울,9.1,16.4,2.5,,10.3
2021-03-24,서울,10.8,16.9,5.7,,7.9
2021-03-25,서울,11.9,19.0,6.8,,9.7
2021-03-26,서울,12.6,20.6,4.8,,7.3
2021-03-27,서울,12.1,15.0,10.2,25.5,0.0
2021-03-28,서울,9.0,13.0,7.7,9.2,0.0
2021-03-29,서울,10.2,14.6,7.3,0.2,7.1
